query,is_hallucinated_gt,response,frac_unsupported_embedding,direct_judge_context_relevant,direct_flagged,lr_risk_probability,cascade_judge_fired,cascade_label,cascade_flagged
How can I check which Cambium switches have the highest CPU utilization?,False,"You can check which Cambium switches have the highest CPU utilization by making a GET request to the following API endpoint:

GET /app/api/reports/top_n/CAMBIUM-SWITCH/cpu_util

This will retrieve the top N Cambium Switch devices ranked by CPU utilization.",0.0,true,False,0.131,False,low,False
fetch top N ECR private repo pull counts report,False,"To fetch the top N ECR private repository pull counts report, use the following API endpoint:

GET /app/api/reports/top_n/ECR-PRIVATE-REPO/ecr_prvt_repo_pull_count

This will retrieve a report of the top private ECR repositories ranked by pull count activity.",0.0,true,False,0.1789,False,low,False
get Kubernetes Persistent Volume summary report,False,"To get the Kubernetes Persistent Volume summary report, use the following API endpoint:

GET /app/api/reports/summary/type/KUBERNETES_PV

This endpoint retrieves the summary report for Kubernetes Persistent Volumes, offering an overview of their status and key attributes.",0.0,true,False,0.3186,False,low,False
Can I delete a Mobile app using the configuration profiles?,False,"No, you cannot delete a Mobile app using the configuration profiles. To delete a specific mobile app entry registered for Mobile/Real-Browser-Monitoring app tracking, you must use the endpoint:

DELETE https://www.site24x7.com/app/api/mobilerbm/delete_app/{id}

The configuration profile endpoints are for deleting Agent Configuration profiles, Business Transaction Configuration profiles, or Auto Upgrade Profiles, not mobile apps.",0.5,true,True,0.2674,True,low,False
get all brand reputation security reports,False,"To get all brand reputation security reports, use the following API endpoint:

GET /api/reports/brand_reputation/all

This fetches all brand reputation security reports to assess online brand security status.",0.0,true,False,0.0562,False,low,False
Show me monitors filtered by GCP cloud provider,False,"To get monitors filtered by the GCP cloud provider, use the following API endpoint:

GET /app/api/short/fetchmonitors/GCP

This endpoint returns GCP-type monitors, which are used by integrations that need to filter monitors by the cloud provider.",0.0,true,False,0.0588,False,low,False
How do I log a configuration change using Site24x7's tracker?,False,"To log a configuration change using Site24x7's tracker, you need to make a PUT request to the endpoint:

```
PUT /app/api/tracker
```

This API call records a change tracking event when integration configuration actions are performed and logs user interaction for audit purposes.",0.0,true,False,0.0876,False,low,False
How can I see which requests passed through the web application firewall?,False,"You can see which requests passed through the Web Application Firewall by using the following API endpoint:

GET /app/api/reports/top_n/WAF/passed_requests

This fetches the top N report of requests that successfully passed through the Web Application Firewall.",0.0,true,False,0.4466,True,low,False
fetch FortiAP access point availability summary report,False,"To fetch the availability summary report for FortiAP access points, use the following API endpoint:

GET /app/api/reports/availability_summary/type/FORTIAP",0.0,true,False,0.4106,True,low,False
How can I get a list of available AI assistant models in Site24x7,False,"You can get a list of available AI assistant models in Site24x7 by making a GET request to the following endpoint:

GET https://www.site24x7.com/app/api/bot/models

This API call retrieves the list of AI/GenAI chat-assistant models configured for the bot service, including any Bring-Your-Own-Key (BYOK) models available to the account.",0.0,true,False,0.2626,False,low,False
How can I check the availability summary for my Route 53 hosted zone record sets?,False,"To check the availability summary for your Route 53 hosted zone record sets, use the following API endpoint:

GET /app/api/reports/availability_summary/type/R53_RECORDSET

This will retrieve the availability summary report specifically for Route 53 hosted zone record sets.",0.0,true,False,0.0846,False,low,False
How can I check the performance report for UDP ports?,False,"You can check the performance report for UDP ports by making a GET request to the following endpoint:

GET /app/api/reports/performance/type/UDP

This will provide you with the performance reports to evaluate the operational metrics and responsiveness of UDP ports.",0.0,true,False,0.0667,False,low,False
threshold_profiles summary list,False,"To get a summarized list of all threshold profiles, you can use the following endpoint:

GET /app/api/short/threshold_profiles

This returns a summarized list of all threshold profiles. 

If you want a summarized list filtered by a specific type, for example SERVER, you can use:

GET /app/api/short/threshold_profiles/SERVER",0.0,true,False,0.3974,False,low,False
Fetch SLA Settings report settings,False,"To fetch the SLA Settings report settings, use the following API endpoint:

GET /app/api/sla_settings

This endpoint retrieves the data for SLA Settings.",0.0,true,False,0.1782,False,low,False
fetch sdpod integration config,False,"To fetch the existing ServiceDesk Plus On-Demand (cloud) integration configuration, use the following API endpoint:

GET /app/api/integration/sdpod",0.0,true,False,0.0854,False,low,False
How do I check monitor dependencies,False,"To check monitor dependencies, use the following API endpoint:

GET /app/api/dependency/{monitor_id}

Replace {monitor_id} with the specific monitored resource's ID to retrieve its dependency map.",0.0,true,False,0.5792,True,low,False
get Application Load Balancer summary report,False,"To get an Application Load Balancer summary report, use the following API endpoint:

GET /app/api/reports/summary/type/APPLICATIONLB

This retrieves a summary report covering key metrics for an Application Load Balancer.",0.0,true,False,0.0675,False,low,False
How can I check which DigitalOcean load balancers have frontend TLS connections exceeding the rate limit?,False,"You can check which DigitalOcean load balancers have frontend TLS connections exceeding the rate limit by using the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_LOAD_BALANCER/frontend_tls_connections_exceeding_rate_limit

This endpoint retrieves a report listing DigitalOcean load balancers with frontend TLS connections exceeding the rate limit.",0.0,true,False,0.0848,False,low,False
show me logtype profiles,False,"To show log type profiles, use the following API endpoint:

GET /app/api/applog/logtype_profiles

This endpoint lists log type profiles used for log classification.",0.0,true,False,0.168,False,low,False
How do I fetch Zoho Cliq organization details for integration,False,"To fetch Zoho Cliq organization details required for configuring the Cliq channel integration, make a GET request to the following endpoint:

```
GET /app/api/zcliq/org_details
```",0.0,true,False,0.0712,False,low,False
get NetApp Monitor BETA performance report for network storage,False,"To get the NetApp Monitor BETA performance report for network storage, use the following API endpoint:

GET /app/api/reports/performance/type/NW_NETAPPSTORAGE

This retrieves performance reports specifically for NetApp storage devices using the NetApp Monitor BETA.",0.0,true,False,0.0874,False,low,False
list plugin report settings custom templates for scheduled reports,False,"To list plugin report settings custom templates for scheduled reports, use the following API endpoint:

GET /app/api/plugin/listCustomTemplates/PLUGIN

This endpoint fetches data for Report Settings supporting lookup, used by Scheduled Reports forms.",0.0,true,False,0.1342,False,low,False
How do I retrieve all auto upgrade profiles in Site24x7,False,"To retrieve all auto upgrade profiles in Site24x7, send a GET request to the following endpoint:

```
GET https://www.site24x7.com/app/api/upgrade_profiles/all
```

This will fetch a lightweight list of all existing Auto Upgrade Profiles, including their name, id, profile_type, and monitor_type.",0.0,true,False,0.1798,False,low,False
fetch Tencent Cloud MySQL capacity usage report top N,False,"To fetch the top capacity usage report for Tencent Cloud MySQL databases, use the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_MYSQL/Capacity",0.0,true,False,0.2008,False,low,False
How do I retrieve a list of user groups for notification profiles in Site24x7,False,"To retrieve a list of user groups for notification profiles in Site24x7, you can use the following API endpoint:

GET https://www.site24x7.com/app/api/short/user_groups

This API fetches a lightweight list of existing User Groups, providing their id and name. These user groups are used as the contact-group selector when building a Notification Profile's alert and escalation configuration.",0.0,true,False,0.2315,False,low,False
How do I create a new APM Business Transaction Configuration profile in Site24x7,False,"To create a new APM Business Transaction Configuration profile in Site24x7, you need to send a POST request to the following endpoint:

```
POST https://www.site24x7.com/app/api/apminsight/business_txn_config_profile
```

In the request payload, include the following:

- The agent_type for which you are creating the profile (e.g., GO).
- A 'keytxn_config' block that controls business transaction-specific settings such as trace thresholds, error tracking, and Apdex threshold.

This will create a new Business Transaction Configuration profile tailored to your specified agent type with the desired transaction configuration settings.",0.0,true,False,0.1432,False,low,False
get mapped summary report for GCP App Engine,False,"To get a mapped summary report for GCP App Engine, use the following API endpoint:

GET /app/api/reports/summary/type/APPENGINE

This generates summary reports for GCP App Engine services presenting overall performance and status.",0.0,true,False,0.0469,False,low,False
cliq chatlet status,False,"To check the Zoho Cliq chatlet integration configuration status, use the following API endpoint:

GET /app/api/cliq_chatlet

This API checks whether the Zoho Cliq chat widget is enabled for the account. For example, a GET request to:

https://www.site24x7.com/app/api/cliq_chatlet

will return the status. If the widget is not enabled, the response will be false.",0.0,true,False,0.1507,False,low,False
How can I check the availability summary for my Kubernetes DaemonSets?,False,"You can check the availability summary for your Kubernetes DaemonSets by making a GET request to the following endpoint:

GET /app/api/reports/availability_summary/type/KUBERNETES_DAEMONSETS

This will retrieve the availability summary reports to assess the operational uptime of your Kubernetes DaemonSets.",0.0,true,False,0.0766,False,low,False
fetch total traffic report for VPC AZ,False,"To fetch the total traffic report for VPC availability zones, use the following API endpoint:

GET /app/api/reports/top_n/VPC_AZ/tot_traffic",0.0,true,False,0.3345,False,low,False
How can I see which network devices have the highest packet loss?,False,"You can see which network devices have the highest packet loss by using the following API endpoint:

GET /app/api/reports/top_n/NETWORKDEVICE/packet_loss

This will generate a report listing network devices with the highest packet loss rates.",0.0,true,False,0.0944,False,low,False
How can I view the summary report for my web application clusters?,False,"You can view the summary report for your web application clusters by making a GET request to the following API endpoint:

GET /app/api/reports/summary/type/WEB_CLUSTER

This will fetch summary reports providing an overview of the performance and status of your web application clusters.",0.0,true,False,0.0776,False,low,False
edit notification profile settings site24x7,False,"To edit notification profile settings in Site24x7, use the following API endpoint:

PUT https://www.site24x7.com/app/api/notification_profiles/{id}

This request updates an existing Notification Profile by resubmitting the full structure including:
- alert_configuration (notification mediums, business-hours window, monitor status)
- notification_delay_configuration
- escalation_configuration (multi-level escalation referencing user groups and automations)
- persistent_alert_configuration (repeat-alert behavior and third-party service notifications)

You need to provide the edited values for these configurations in the request body. Replace {id} with the specific Notification Profile ID you want to update.",0.0,true,False,0.7781,True,low,False
How can I view network interface outage reports?,False,"To view network interface outage reports, you can use the following API endpoint:

GET /app/api/reports/outages/type/NETWORKINTERFACE

This endpoint fetches outage reports and statistics for network interfaces to monitor their downtime.",0.0,true,False,0.0438,False,low,False
fetch Meraki gateway availability summary report,False,"To fetch the Meraki Gateway availability summary report, use the following API endpoint:

GET /app/api/reports/availability_summary/type/MERAKIGATEWAY

This endpoint retrieves availability summary reports for Meraki Cellular Gateway devices to assess their uptime and availability status.",0.0,true,False,0.4653,True,low,False
list top RDS clusters by total backup storage billed report,False,"To list the top RDS clusters by total backup storage billed, use the following API endpoint:

GET /app/api/reports/top_n/RDS-CLUSTER/total_backup_storage_billed

This endpoint retrieves a report listing the top RDS clusters ranked by total backup storage billed.",0.0,true,False,0.0712,False,low,False
list top n DigitalOcean Droplets with highest cpu system report,False,"To list the top n DigitalOcean Droplets with the highest CPU system usage, use the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_DROPLET/cpu_system

This retrieves a report listing the top DigitalOcean Droplets ranked by system CPU usage.",0.0,true,False,0.0812,False,low,False
How can I view the top Huawei Cloud EVS disks with the highest read wait times?,False,"To view the top Huawei Cloud EVS disks with the highest read wait times, use the following API endpoint:

GET /app/api/reports/top_n/HUAWEICLOUD_EVS/disk_device_read_await

This retrieves the top Huawei Cloud EVS disks ranked by their read await (wait) times.",0.0,true,False,0.1321,False,low,False
fetch Azure NAT gateway performance statistics report,False,"To fetch the performance statistics report for an Azure NAT gateway, use the following API endpoint:

GET /app/api/reports/performance/type/AZURE-NATGATEWAY

This will provide metrics and statistics on the operational efficiency of the Azure NAT gateway.",0.0,true,False,0.0737,False,low,False
add freshdesk integration site24x7,False,"To add a Freshdesk integration in Site24x7, use the following API endpoint:

POST /app/api/integration/fresh_desk

This creates or updates a Freshdesk integration that manages Freshdesk tickets from Site24x7 alerts.",0.0,true,False,0.0907,False,low,False
list top Juniper APs by tx bytes report,False,"To list the top Juniper Mist access points by transmitted bytes, use the following API endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST-AP/tx_bytes

This will retrieve a report listing the top Juniper Mist access points ranked by transmitted bytes.",0.0,true,False,0.1701,False,low,False
list top memory consumption reports for Tencent Cloud PostgreSQL,False,"The top memory consumption report for Tencent Cloud PostgreSQL instances can be retrieved using the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_POSTGRES/Memory

This provides the top memory consumption report to track resource utilization.",0.0,true,False,0.0474,False,low,False
fetch top N RDS Proxy query response latency report,False,"To fetch the top N RDS Proxy query response latency report, use the following API endpoint:

GET /app/api/reports/top_n/RDS-PROXY/query_Response_Latency

This endpoint retrieves a report of the top RDS Proxy instances ranked by query response latency.",0.0,true,False,0.0442,False,low,False
How can I retrieve alert log views using the Site24x7?,False,"To retrieve alert log views using Site24x7 Admin API, you can use the following endpoint:

GET /app/api/applog/logtype_views

This endpoint fetches data for Alert Logs specifically related to log views.",0.0,true,False,0.5451,True,low,False
get top counted WAF requests report,False,"To get the top counted Web Application Firewall (WAF) requests report, use the following API endpoint:

GET /app/api/reports/top_n/WAF/counted_requests

This retrieves the top N report showing web applications with the highest number of WAF requests.",0.0,true,False,0.1037,False,low,False
How do I retrieve third party integrations for notification profiles in Site24x7,False,"To retrieve the third-party integration services (such as PagerDuty-style integrations) that can be selected as notification actions inside a Notification Profile in Site24x7, you should use the following API endpoint:

GET https://www.site24x7.com/app/api/short/third_party_services

This call fetches a lightweight list of configured third-party integration services available for use in Notification Profiles.",0.0,true,False,0.1974,False,low,False
fetch top N skipped records for VPC region report,False,"To fetch the top N skipped records for the VPC region report, use the following API endpoint:

GET /app/api/reports/top_n/VPC_REGIONAL/skipped_records

This endpoint retrieves the top N VPC regions with skipped records in reporting data.",0.0,true,False,0.0948,False,low,False
fetch top swap usage report for Elasticache Valkey cluster node,False,"To fetch the top swap usage report for Elasticache Valkey cluster nodes, use the following API endpoint:

GET /app/api/reports/top_n/VALKEY-CLUSTER-NODE/node_swap_usage

Replace VALKEY-CLUSTER-NODE with the specific identifier of your Valkey cluster node.",0.0,true,False,0.1137,False,low,False
How can I view the performance trends for my Azure VM Scale Sets?,False,"To view the performance trends for your Azure Virtual Machine Scale Sets, you can use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-VMSCALESET

This API retrieves performance trend reports for Azure Virtual Machine Scale Sets over a specified period, allowing you to analyze their performance trends.",0.0,true,False,0.0517,False,low,False
fetch container trend report data for servers,False,"To fetch container trend report data for servers, use the following API endpoint:

GET /app/api/reports/trend/type/SERVER_CONTAINER

This endpoint retrieves trend reports for server containers, showing performance and availability patterns over time.",0.0,true,False,0.1782,False,low,False
fetch mobile RBM synthetic application trend report,False,"To fetch the mobile RBM synthetic application trend report, use the following API endpoint:

GET /app/api/reports/trend/type/MOBILE_RBM",0.0,true,False,0.1292,False,low,False
How can I see which RDS clusters have the most storage space left?,False,"To see which RDS clusters have the most storage space left, you can use the following API endpoint:

GET /app/api/reports/top_n/RDS-CLUSTER/volume_bytes_left_total

This retrieves a report of the top RDS clusters ranked by total available storage volume bytes.",0.0,true,False,0.316,False,low,False
get Office 365 performance report in Site24x7,False,"To get the Office 365 performance report in Site24x7, use the following API endpoint:

GET /app/api/reports/performance/type/OFFICE365

This fetches performance reports for Microsoft 365 Office 365 services, showing service performance metrics.",0.0,true,False,0.0774,False,low,False
list top n Juniper MIST response time report,False,"To list the top N Juniper MIST response time report, you can use the following API endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST/response_time

This provides a ranked list of Juniper MIST devices based on their response times.",0.0,true,False,0.0454,False,low,False
How can I view Kubernetes trend reports for my cluster?,False,"To view Kubernetes trend reports for your cluster, you can use the following API endpoint:

GET /app/api/reports/trend/type/KUBERNETES

This endpoint provides trend analysis reports for Kubernetes clusters, showing performance and usage patterns over time. Additionally, you can retrieve more specific trend reports for different Kubernetes components by using these endpoints:

- CoreDNS performance trend: GET /app/api/reports/trend/type/KUBERNETES_COREDNS
- Kubelet performance trend: GET /app/api/reports/trend/type/KUBERNETES_KUBELET
- Kubernetes services trend: GET /app/api/reports/trend/type/KUBERNETES_SERVICES
- Kubernetes pods trend: GET /app/api/reports/trend/type/KUBERNETES_POD

Use these endpoints to fetch detailed trend reports for your Kubernetes cluster and its components.",0.0,true,False,0.0821,False,low,False
How can I view the frontend TLS connections limit for my DigitalOcean load balancers?,False,"You can view the frontend TLS connections limit for your DigitalOcean load balancers by using the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_LOAD_BALANCER/frontend_tls_connections_limit

This endpoint fetches the frontend TLS connections limit report specifically for DigitalOcean load balancers.",0.0,true,False,0.6077,True,low,False
request to partially update Anomaly Settings in Configuration Profiles,False,"To partially update Anomaly Settings in Configuration Profiles, you use the following API endpoint:

PUT https://www.site24x7.com/app/api/anomaly_settings/{id}

This request attempts a partial update of the Anomaly Settings by toggling the enable_alerting field to false for the given attribute_group_id. The UI behavior is to send one PUT request per individual control changed rather than submitting the entire settings object.

Therefore, for a partial update, you only need to specify the changes for the particular anomaly setting attribute you want to modify within the given anomaly_settings ID.",0.333,true,True,0.1616,True,low,False
fetch datastore snapshot forecast report,False,"To fetch the datastore snapshot forecast report, use the following API endpoint:

GET /app/api/reports/forecast/type/DATASTORE_SNAPSHOTS

This endpoint obtains the forecast report for datastore snapshots, projecting future availability and performance trends.",0.0,true,False,0.0622,False,low,False
list Juniper AP BETA top N throughput report,False,"To list the Juniper AP BETA top N throughput report, use the following API endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST-AP/sle_throughput

This endpoint provides the top throughput statistics for Juniper Mist access points to identify the highest performing devices.",0.0,true,False,0.1874,False,low,False
How can I check which EC2 instances have the most free visible memory?,False,"To check which EC2 instances have the most free visible memory, you can use the following API endpoint:

GET /app/api/reports/top_n/EC2INSTANCE/free_visible_memory

This will retrieve a report listing EC2 instances ranked by free visible memory, helping you identify those with the most available memory.",0.0,true,False,0.0851,False,low,False
get server monitoring trend report,False,"To get the server monitoring trend report, use the following API endpoint:

GET /app/api/reports/trend/type/SERVER

This endpoint retrieves server performance trend reports to analyze monitoring data over time.",0.0,true,False,0.1783,False,low,False
How can I see detailed information about a Cisco ACI leaf device?,False,"To see detailed information about a Cisco ACI Leaf device, you can use the following API endpoint:

GET /app/api/reports/child-details/CISCOACI/LEAF/{id}

Replace {id} with the specific ID of the Cisco ACI Leaf device you want details for. This will retrieve detailed child device information for that Leaf device.",0.0,true,False,0.0411,False,low,False
fetch Azure Virtual Machine disk details report by monitor id,False,"To fetch the Azure Virtual Machine disk details report by monitor ID, use the following API endpoint:

GET /app/api/reports/child-details/AZURE-VM/DiskDetails/{id}

Replace {id} with the specific Azure Virtual Machine monitor ID. This will provide detailed disk usage and status reports for the specified Azure VM.",0.0,true,False,0.0377,False,low,False
fetch top N SQL Server long transaction time report,False,"To fetch the top N SQL Server long transaction time report, use the following API endpoint:

GET /app/api/reports/top_n/SQLSERVER/long_transaction_time",0.0,true,False,0.0443,False,low,False
How can I view the performance report for my OpenTelemetry services?,False,"To view the performance report for your OpenTelemetry services, use the following API endpoint:

GET /app/api/reports/performance/type/APM-OTEL-SERVICE

This will deliver performance reports for OpenTelemetry services to evaluate their operational metrics.",0.0,true,False,0.036,False,low,False
How can I view the performance report for my Azure Network Security Groups?,False,"You can view the performance report for your Azure Network Security Groups by making a GET request to the following endpoint:

GET /app/api/reports/performance/type/AZURE-NSG

This will fetch the performance report detailing performance metrics and operational insights for your Azure Network Security Groups.",0.0,true,False,0.0452,False,low,False
list top VPC availability zones by minimum RX packet,False,"To list the top VPC availability zones by minimum received (RX) packet, use the following API endpoint:

GET /app/api/reports/top_n/VPC_AZ/min_rx_packet

This retrieves a report of VPC availability zones with the lowest received packet rates.",0.0,true,False,0.0719,False,low,False
How do I list all poller groups for integrations in Site24x7,False,"To list all poller groups for integrations in Site24x7, use the following API endpoint:

GET /app/api/short/monitors/pollergroup

This endpoint retrieves available poller groups used to scope certain integrations (e.g., SDP) to specific network segments.",0.0,true,False,0.3966,False,low,False
Fetch full config for a specific monitor ( ),False,"To fetch the full configuration details for a specific monitor, use the following API endpoint:

GET /app/api/monitors/{monitor_id}

Replace {monitor_id} with the ID of the monitor you want to retrieve.",0.0,true,False,0.1139,False,low,False
How can I view the top memory usage reports for Tencent Cloud Lighthouse?,False,"You can view the top memory usage reports for Tencent Cloud Lighthouse by using either of the following API endpoints:

- GET /app/api/reports/top_n/TENCENTCLOUD_LIGHTHOUSE/MemUsage  
  Retrieves the top memory usage report for Tencent Cloud Lighthouse instances.

- GET /app/api/reports/top_n/TENCENTCLOUD_LIGHTHOUSE/MemUsed  
  Retrieves a report showing Tencent Cloud Lighthouse servers with the highest memory usage.",0.0,true,False,0.4236,True,low,False
"status count for monitors, like up etc?",False,"To get the status count for monitors (such as Up, Down, Trouble, Critical, Suspended, Maintenance, Discovery, Configuration Error), you can use the following API endpoint:

GET https://www.site24x7.com/app/api/monitors/status/count

This endpoint returns the account-wide count of monitors broken down by their current status, along with a grand total and error count. It powers the status-summary widget at the top of the dashboard and provides a grouped count of monitors by their operational status.",0.0,true,False,0.1622,False,low,False
How do I retrieve all IT automation rules in Site24x7,False,"To retrieve all IT automation rules in Site24x7, use the following API endpoint:

GET /app/api/it_automation

This will list all IT automation configurations.",0.0,true,False,0.7995,True,low,False
fetch top N subnets per VPC AZ report,False,"To fetch the top N subnets per VPC Availability Zone (AZ) report, use the following API endpoint:

GET /app/api/reports/top_n/VPC_AZ/tot_subnet

This endpoint retrieves a report showing the top subnets within each VPC Availability Zone.",0.0,true,False,0.0899,False,low,False
monitor form template for Veeam Enterprise Manager,False,"The monitor form template for Veeam Enterprise Manager can be loaded using the following API endpoint:

GET /app/client/templates/monitors-form/add-veeam_enterprisemanager.json

This endpoint loads the JSON form template used for adding a Veeam Enterprise Manager monitor type.",0.0,true,False,0.0635,False,low,False
fetch Tencent CVM memory usage report,False,"To fetch the Tencent Cloud CVM memory usage report, use the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_CVM/MemUsage",0.0,true,False,0.329,False,low,False
fetch account-wide custom reports,False,"To fetch an account-wide list of all Custom Reports, use the following endpoint:

GET https://www.site24x7.com/app/api/short/reports/custom

This endpoint returns a lightweight, account-wide list of all Custom Reports across all users, each tagged with the creating user's zuid. It provides a broader catalogue used for an account-level reports index.",0.5,true,True,0.4884,True,low,False
get mapped outage report for Azure Storage Blob,False,"To get the mapped outage report for Azure Storage Blob, use the following API endpoint:

GET /app/api/reports/outages/type/AZURE-STORAGE-BLOB

This provides outage reports highlighting downtime and incident history for Azure Blob Storage services.",0.0,true,False,0.0393,False,low,False
Show me the AI collections for server monitor,False,"To get the AI data collections available for Zia workflow processing related to server monitoring, you can use the following API endpoint:

GET /app/api/genai/collections

This endpoint lists AI data collections that can be used for Zia workflow processing, which may include collections relevant to server monitors.",0.0,partial,True,0.8146,True,medium,True
Can I link Site24x7 alerts to Freshdesk tickets automatically,False,"Yes, you can link Site24x7 alerts to Freshdesk tickets automatically by creating or updating a Freshdesk integration using the POST /app/api/integration/fresh_desk API. This integration creates and manages Freshdesk tickets from Site24x7 alerts.",0.0,true,False,0.1135,False,low,False
fetch summarized tag info,False,"To fetch summarized tag info, use the endpoint:

GET /app/api/short/tags_list

This returns a summarized list of all tags defined in the account.",0.0,true,False,0.9185,False,high,True
load third party integrations page setup info,False,"To load the setup information required for the Third-Party Integrations page, use the following API endpoint:

GET /app/api/client_data/demo

This endpoint loads the supporting metadata and session context necessary before rendering the Third-Party Integrations page.",0.0,true,False,0.2396,False,low,False
How can I view outage reports for SaaS applications monitored with browser synthetics?,False,"To view outage reports for SaaS applications monitored using browser synthetics, use the following API endpoint:

GET /app/api/reports/outages/type/SAAS_APPLICATION

This endpoint retrieves the outage reports specifically for SaaS applications monitored with browser synthetics.",0.0,true,False,0.0678,False,low,False
request to modify alert or threshold rule – what's the payload,False,"The provided context does not include the specific payload structure for the request to modify an alert or threshold rule using the PUT /app/api/rules/{rule_id} endpoint. It only states that this endpoint updates an existing alert or threshold rule configuration but does not detail the fields or format required in the payload.

To obtain the exact payload structure, you would typically refer to the official Site24x7 Admin API documentation for the alert or threshold rules section, where the request body schema is defined.",0.0,partial,True,0.099,False,low,False
How can I view the trend report for Entra ID Application Monitor?,False,"To view the trend report for an Entra ID Application Monitor, use the following API endpoint:

GET /app/api/reports/trend/type/ENTRAID-APPLICATION

This endpoint generates trend reports that track performance changes over time for Entra ID Application Monitors.",0.0,true,False,0.2204,False,low,False
get Azure Triggered WebJob trend report data,False,"To get the Azure Triggered WebJob trend report data, use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-TRIGGEREDWEBJOB

This fetches trend reports showing performance patterns over time for Azure Triggered WebJobs.",0.0,true,False,0.0621,False,low,False
How can I see the devices with the highest response times in FortiManager SD-WAN?,False,"To see the devices with the highest response times in FortiManager SD-WAN, you can use the following API endpoint:

GET /app/api/reports/top_n/FORTIMANAGER-SDWAN/response_time

This generates a top N report of FortiManager SD-WAN devices ranked by highest response times.",0.0,true,False,0.0868,False,low,False
get top n Valkey engine CPU usage report,False,"To get the top N Valkey engine CPU usage report, use the following API endpoint:

GET /app/api/reports/top_n/VALKEY-CLUSTER/ec_valkey_engine_cpu_utilization

This retrieves a report showing CPU utilization metrics for Elasticache Valkey clusters.",0.0,true,False,0.2199,False,low,False
fetch compute type performance report,False,"To fetch a compute type performance report, use the following API endpoint:

GET /app/api/reports/performance/type/COMPUTE

This will retrieve performance reports specifically related to compute resources and their metrics.",0.0,true,False,0.5685,True,low,False
