query,is_hallucinated_gt,response,frac_unsupported_embedding,direct_judge_context_relevant,direct_flagged,lr_risk_probability,cascade_judge_fired,cascade_label,cascade_flagged
fetch top N RDS Proxy query response latency report,False,"To fetch the top N RDS Proxy query response latency report, use the following API endpoint:

GET /app/api/reports/top_n/RDS-PROXY/query_Response_Latency

This endpoint retrieves a report of the top RDS Proxy instances ranked by query response latency.",0.0,true,False,0.0442,False,low,False
list top n receive counts for Amazon MQ Network Connector,False,"To list the top N receive counts for Amazon MQ Network Connector nodes, use the following API endpoint:

GET /app/api/reports/top_n/AMQNC/receive_count

This fetches a report of the top Amazon MQ Network Connector nodes ranked by their receive count.",0.0,true,False,0.7313,True,low,False
fetch gRPC summary report details,False,"To fetch gRPC summary report details, use the following API endpoint:

GET /app/api/reports/summary/type/GRPC

This endpoint provides a summary report detailing key metrics for gRPC services.",0.0,true,False,0.0621,False,low,False
update webclient_language_code for My Account module,False,"To update the webclient_language_code for the My Account module, use the following API endpoint:

PUT /app/api/webclient_language

This endpoint updates data related to Web Client Notification Settings, which includes the language code settings for the web client. You will need to send a PUT request to this endpoint with the updated language code in the request body.",0.0,partial,True,0.1561,False,low,False
get alert logs details,False,"To get alert logs details, use the following API endpoint:

GET /app/api/applog/alerts

This endpoint fetches data for Alert Logs.",0.0,true,False,0.8682,False,high,True
list top VPC availability zones by minimum RX packet,False,"To list the top VPC availability zones by minimum received (RX) packets, use the following API endpoint:

GET /app/api/reports/top_n/VPC_AZ/min_rx_packet

This endpoint retrieves a report of VPC availability zones with the lowest received packet rates.",0.0,true,False,0.0719,False,low,False
Show me related templates for alert logs,False,"To fetch related templates for alert logs, use the following API endpoint:

GET /app/api/applog/related_templates

This endpoint retrieves data for related templates of alert logs.",0.0,true,False,0.112,False,low,False
How can I check the trend report for Azure DNS performance?,False,"To check the trend report for Azure DNS performance, you can use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-DNS

This endpoint retrieves trend reports detailing performance metrics over time specifically for Azure DNS services.",0.0,true,False,0.068,False,low,False
fetch complete SSL certificate security report list,False,"To fetch the complete SSL certificate security report list, use the following API endpoint:

GET /api/reports/ssl_cert/all

This endpoint provides comprehensive security reports for all SSL certificates monitored to assess their status and compliance.",0.0,true,False,0.0498,False,low,False
get notification_profiles for ops module,False,"To get the notification profiles for the Operations module, you can use the endpoint:

GET /app/api/short/notification_profiles

This endpoint fetches data for Operations (supporting lookup used by multiple sub-features), providing a lightweight list of notification profiles relevant to the Ops module.",0.0,true,False,0.2198,False,low,False
fetch FortiGate device performance metrics report,False,"To fetch the FortiGate device performance metrics report, use the following API endpoint:

GET /app/api/reports/performance/type/FORTIGATE

This will provide performance reports for FortiGate devices, detailing key performance metrics and health indicators.",0.0,true,False,0.0774,False,low,False
fetch report download history trends,False,"To fetch report download history trends, use the following API endpoint:

GET /app/api/reports/trend

This endpoint returns trend data showing the download history and patterns for reports over time.",0.0,true,False,0.0959,False,low,False
get Azure Blob Storage trend report,False,"To get the Azure Blob Storage trend report, use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-STORAGE-BLOB

This provides usage trend reports for Azure Blob Storage over a specified period.",0.0,true,False,0.0738,False,low,False
show me agent upgrade versions for servers,False,"To get the available agent versions eligible for upgrade for servers, you can use the following API endpoint:

GET https://www.site24x7.com/app/api/short/server/agent_upgradable_versions

This fetches the latest and stable available agent version numbers for each upgradable agent type including Server Agent, On-Premise Poller, and FullStack Agent (separately for Windows/Linux where applicable). It is used to populate version-selection options in the Auto Upgrade Profile create form.",0.5,true,True,0.6626,True,low,False
How can I view the global database data transfer report for my RDS clusters?,False,"You can view the global database data transfer report for your RDS clusters by making a GET request to the following endpoint:

GET /app/api/reports/top_n/RDS-CLUSTER/global_db_data_transfer

This will retrieve the top RDS clusters based on global database data transfer statistics.",0.0,true,False,0.0437,False,low,False
How can I view the summary report for Azure Bastion instances?,False,"You can view the summary report for Azure Bastion instances by making a GET request to the following endpoint:

GET /app/api/reports/summary/type/AZURE-BASTION

This will fetch summary reports offering an overview of the status and metrics of Azure Bastion instances.",0.0,true,False,0.0772,False,low,False
How do I retrieve browser options for a specific profile in Site24x7,False,"To retrieve browser configuration options for a specific profile in Site24x7, use the following API endpoint:

GET /app/api/browser_options/{browser_profile_id}/{application_type}

Replace `{browser_profile_id}` with the ID of the browser profile and `{application_type}` with the type of monitor/application you are querying for. This call will return the browser configuration options associated with the given monitor type and profile.",0.0,true,False,0.148,False,low,False
How do I retrieve a list of user groups for notification profiles in Site24x7,False,"To retrieve a list of user groups for notification profiles in Site24x7, you can use the following API endpoint:

GET https://www.site24x7.com/app/api/short/user_groups

This endpoint fetches a lightweight list of existing User Groups containing only the id and name. These user groups are used as the contact-group selector when building a Notification Profile's alert and escalation configuration.",0.0,true,False,0.2315,False,low,False
How can I check the highest CPU usage for Cambium Edge BETA devices?,False,"To check the highest CPU usage for Cambium Edge BETA devices, you can use the following API endpoint:

GET /app/api/reports/top_n/CAMBIUM-EDGE/cpu_util

This endpoint retrieves the top N Cambium Edge BETA devices ranked by CPU utilization.",0.0,true,False,0.1152,False,low,False
How can I view the slow query processing threads for my Exchange Server?,False,"To view the slow query processing threads for your Microsoft Exchange Server, you can use the following API endpoint:

GET /app/api/reports/top_n/MSEXCHANGE/slow_qp_threads

This will provide you with the top N reports on slow query processing threads in Microsoft Exchange Servers.",0.0,true,False,0.0747,False,low,False
fetch IIS server app pool child details report,False,"To fetch the IIS server application pool child details report, use the following API endpoint:

GET /app/api/reports/child-details/IISSERVER/APPPOOLS/{id}

Replace {id} with the specific Microsoft IIS Server ID for which you want to retrieve the application pool details. This will provide insights into app pool performance and health.",0.0,true,False,0.0381,False,low,False
How can I view the performance trends for my Azure Virtual Machines?,False,"To view the performance trends for your Azure Virtual Machines, you can use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-VM

This endpoint fetches performance trend reports for Azure Virtual Machines, allowing you to analyze their operational metrics over time.",0.0,true,False,0.1073,False,low,False
How can I view outage reports for my VPC route tables?,False,"To view outage reports for your VPC route tables, use the following API endpoint:

GET /app/api/reports/outages/type/VPC_RT

This endpoint provides mapped outage reports specifically for VPC route tables to help monitor connectivity issues.",0.0,true,False,0.0382,False,low,False
list top outbound private bandwidth usage for DigitalOcean Droplets,False,"To list the top outbound private bandwidth usage for DigitalOcean Droplets, use the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_DROPLET/bandwidth_outbound_private

This will provide a report listing DigitalOcean Droplets with the highest outbound private bandwidth usage.",0.0,true,False,0.2395,False,low,False
fetch bottom n idle timeout statistics for VPC NAT Gateway,False,"To fetch the bottom N idle timeout statistics for VPC NAT Gateways, use the following API endpoint:

GET /app/api/reports/bottom_n/VPC_NATGATEWAY/idle_time_out_count

This will retrieve the bottom N VPC NAT Gateways ranked by idle timeout counts for performance analysis.",0.0,true,False,0.0494,False,low,False
monitor form template for Veeam Enterprise Manager,False,"The monitor form template for Veeam Enterprise Manager can be loaded using the following endpoint:

GET /app/client/templates/monitors-form/add-veeam_enterprisemanager.json

This endpoint loads the JSON form template used for adding the Veeam Enterprise Manager monitor type.",0.0,true,False,0.0635,False,low,False
How can I view the summary report for my Azure Route Tables?,False,"To view the summary report for your Azure Route Tables, use the following API endpoint:

GET /app/api/reports/summary/type/AZURE-ROUTE-TABLE

This endpoint retrieves summary reports for Azure Route Tables, providing an overview of their configuration and status.",0.0,true,False,0.0633,False,low,False
get all brand reputation security reports,False,"To get all brand reputation security reports, use the following API endpoint:

GET /api/reports/brand_reputation/all

This fetches all brand reputation security reports to assess online brand security status.",0.0,true,False,0.0562,False,low,False
fetch top virtual memory usage for Kube-Proxy processes in Kubernetes reports,False,"To fetch the top virtual memory usage for Kube-Proxy processes in Kubernetes reports, use the following API endpoint:

GET /app/api/reports/top_n/KUBERNETES_KUBE_PROXY/process_virtual_memory_bytes

This endpoint shows Kube-Proxy processes with the highest virtual memory usage to assess memory allocation.",0.0,true,False,0.1402,False,low,False
show me Zia AI data collections,False,"To view Zia AI data collections, use the following API endpoint:

GET /app/api/genai/collections

This API call lists the AI data collections available for Zia workflow processing.",0.0,true,False,0.1059,False,low,False
fetch agentless server interface child details report,False,"To fetch the agentless server interface child details report, use the following API endpoint:

GET /app/api/reports/child-details/AGENTLESSSERVER/INTERFACE/{id}

Replace {id} with the specific agentless server ID to retrieve detailed interface information for that server.",0.0,true,False,0.081,False,low,False
fetch child details for NetFlow device source in reports,False,"To fetch child details for the source in reports for a NetFlow device, use the following API endpoint:

GET /app/api/reports/child-details/NETFLOWDEVICE/SOURCEIN/{id}

Replace {id} with the specific NetFlow device ID.",0.0,true,False,0.0842,False,low,False
How can I view the average database write latency for my Microsoft Exchange Server?,False,"You can view the average database write latency for your Microsoft Exchange Server by making a GET request to the following endpoint:

GET /app/api/reports/top_n/MSEXCHANGE/db_writes_average_latency

This will retrieve the top N reports on average database write latency for Microsoft Exchange Servers.",0.0,true,False,0.0461,False,low,False
fetch top N WLC memory utilization report,False,"To fetch the top N Wireless LAN Controllers (WLC) memory utilization report, use the following API endpoint:

GET /app/api/reports/top_n/WLC/mem_util

This retrieves a report showing the top Wireless LAN Controllers based on memory usage.",0.0,true,False,0.0906,False,low,False
get metric profile by id site24x7,False,"To get a Metric Profile by ID in Site24x7, use the following API call:

GET https://www.site24x7.com/app/api/metric_profiles/{id}

This fetches one specific existing Metric Profile by its ID, returning fields such as display name, monitor_type, and a 'selected_metrics' field. Note that in the GET response, the selected_metrics field is returned as a JSON-encoded STRING, which differs from the structured array format used when creating or updating profiles via POST or PUT.",0.0,true,False,0.1892,False,low,False
show me plugin report settings lookup info,False,"To get plugin report settings lookup info, you can use the following endpoints that support lookup and are used by Scheduled Reports forms:

- GET /app/api/short/plugins  
- GET /app/api/plugin/listCustomTemplates/PLUGIN

These endpoints fetch data related to Report Settings for plugins.",0.0,true,False,0.1592,False,low,False
How do I update an APM business transaction rule in Site24x7,False,"To update an existing APM Business Transaction Rule in Site24x7, you need to use the following API endpoint:

- **Method:** PUT  
- **URL:** https://www.site24x7.com/app/api/apminsight/business_txn_rules/{id}

Replace `{id}` with the ID of the Business Transaction Rule you want to update.

You can modify properties such as:  
- The rule's name  
- Detection frequency  
- Grouping flag (whether to enable or disable automatic transaction grouping)  
- Other editable values related to the rule

Send the updated rule data in the request body to apply the changes.",0.0,true,False,0.0727,False,low,False
list Juniper WAN Edge BGP peers established report,False,"To list the Juniper WAN Edge BGP peers established report, use the following API endpoint:

GET /app/api/reports/top_n/JUNIPER-MIST-WAN-EDGE/bgp_peers_established

This endpoint provides a detailed report of the top BGP peers established on Juniper WAN Edge devices.",0.0,true,False,0.0702,False,low,False
Which Operations lists ongoing maintenance periods,False,"The endpoints that fetch data related to Scheduled Maintenance, which represent ongoing maintenance periods, are:

- GET /app/api/current_maintenance_list
- GET /app/api/maintenance

These endpoints provide data for Scheduled Maintenance, which corresponds to ongoing maintenance periods.

The endpoints under /app/api/uptime_monitor/ are for Operations support and do not list ongoing maintenance periods.",0.0,true,False,0.5253,True,low,False
list top Function Compute functions with errors in Alibaba Cloud reports,False,"To list the top Alibaba Cloud Function Compute functions with errors, you can use the following API endpoint:

GET /app/api/reports/top_n/ALIBABACLOUD_FC/FunctionFunctionErrors

This provides a report of the top Alibaba Cloud Function Compute functions ranked by error occurrences.",0.0,true,False,0.1193,False,low,False
list top RDS clusters by total backup storage billed report,False,"To list the top RDS clusters by total backup storage billed, use the following API endpoint:

GET /app/api/reports/top_n/RDS-CLUSTER/total_backup_storage_billed

This endpoint retrieves a report listing the top RDS clusters based on the total backup storage billed.",0.0,true,False,0.0712,False,low,False
pull statusiq competitor pages,False,"To pull StatusIQ competitor pages, use the following API endpoint:

GET /sp/api/migrate/competitor/pages

This endpoint fetches data for Status Pages (StatusIQ) competitor pages.",0.0,true,False,0.6028,True,low,False
get dashboard widget 15698000407685850 info,False,"To get information for dashboard widget 15698000407685850, use the following API endpoint:

GET /app/api/dashboards/widgets/15698000407685850

This fetches data related to Operations for that specific dashboard widget.",0.0,true,False,0.7745,True,low,False
fetch WAN top N average RTT report,False,"To fetch the WAN top N average RTT report, use the following API endpoint:

GET /app/api/reports/top_n/WANRTT/average",0.0,true,False,0.0502,False,low,False
get kubernets_assistant workflow setup,False,"To get the kubernets_assistant workflow setup, use the following API endpoint:

GET /app/api/genai/workflow/kubernets_assistant

This will retrieve the specific AI workflow configuration for the kubernets_assistant by its ID or name.",0.0,true,False,0.0843,False,low,False
is my app instrumented,False,"To check if your app is instrumented with APM Insight, you can use the following API endpoint:

GET /app/api/apminsight/ins/hH

This endpoint checks the APM Insight instrumentation status for the account. If you call this API, it will indicate whether your application is instrumented or not.",0.0,true,False,0.4415,True,low,False
How do I fetch Zoho Cliq organization details for integration,False,"To fetch Zoho Cliq organization details required for configuring the Cliq channel integration, make a GET request to the following endpoint:

GET /app/api/zcliq/org_details",0.0,true,False,0.0712,False,low,False
fetch Huawei Cloud EIP top N upstream report,False,"To fetch the Huawei Cloud EIP top N upstream report, you can use the following API endpoint:

GET /app/api/reports/top_n/HUAWEICLOUD_EIP/up_stream

This retrieves the top upstream usage report for Huawei Cloud Elastic IPs (EIP), showing the highest upstream traffic sources.",0.0,true,False,0.1662,False,low,False
How can I view the memory usage for my Cambium Switch devices?,False,"To view the memory usage for your Cambium Switch devices, use the following API endpoint:

GET /app/api/reports/top_n/CAMBIUM-SWITCH/memory_util

This will retrieve the top N Cambium Switch devices ranked by memory utilization.",0.0,true,False,0.113,False,low,False
get top VPC region report by total volume,False,"To get the top VPC region report by total volume, use the following API endpoint:

GET /app/api/reports/top_n/VPC_REGIONAL/tot_volume

This retrieves the top N VPC regions ranked by total volume metrics.",0.0,true,False,0.1342,False,low,False
fetch Cambium Edge BETA mapped summary report,False,"To fetch the Cambium Edge BETA mapped summary report, use the following API endpoint:

GET /app/api/reports/summary/type/CAMBIUM-EDGE",0.0,true,False,0.1064,False,low,False
fetch Azure NAT gateway performance statistics report,False,"To fetch the Azure NAT Gateway performance statistics report, use the following API endpoint:

GET /app/api/reports/performance/type/AZURE-NATGATEWAY

This endpoint provides metrics and statistics on the operational efficiency of Azure NAT gateways.",0.0,true,False,0.0737,False,low,False
list top invoked Alibaba Function Compute functions report,False,"To get a report listing the top invoked Alibaba Cloud Function Compute functions by invocation count, use the following API endpoint:

GET /app/api/reports/top_n/ALIBABACLOUD_FC/Invocations",0.0,true,False,0.8074,True,low,False
request for configuring Applications Manager integration,False,"To configure the Applications Manager integration, use the following API request:

**Request:**
POST /app/api/integration/appmanager

This endpoint creates or configures the Applications Manager integration for unified monitoring between Site24x7 and Applications Manager.",0.0,true,False,0.0681,False,low,False
list top n DigitalOcean Droplets with highest cpu system report,False,"To list the top n DigitalOcean Droplets with the highest CPU system usage, use the following API endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN_DROPLET/cpu_system

This retrieves a report listing the top DigitalOcean Droplets ranked by system CPU usage.",0.0,true,False,0.0812,False,low,False
fetch top VPC subnets by minimum transmitted volume report,False,"To fetch the top VPC subnets by minimum transmitted volume report, use the following endpoint:

GET /app/api/reports/top_n/VPC_SUBNET/min_tx_volume",0.0,true,False,0.0943,False,low,False
fetch Cisco ACI Spine child details report,False,"To fetch the Cisco ACI Spine child details report, use the following API endpoint:

GET /app/api/reports/child-details/CISCOACI/SPINE/{id}

Replace {id} with the specific Spine device ID for which you want to retrieve detailed child device information.",0.0,true,False,0.0666,False,low,False
How can I view the trend report for my Application Load Balancers?,False,"To view the trend report for your Application Load Balancers, use the following API endpoint:

GET /app/api/reports/trend/type/APPLICATIONLB

This will fetch trend reports showing performance and availability patterns of your Application Load Balancers over time.",0.0,true,False,0.3639,False,low,False
list FortiGate device report showing top NPU session counts,False,"To get a report listing the top FortiGate devices by NPU session count, use the following API endpoint:

GET /app/api/reports/top_n/FORTIGATE/npu_session_count",0.0,true,False,0.1928,False,low,False
"listCustomTemplates for plugins, what info does it give?",False,"The endpoint GET /app/api/plugin/listCustomTemplates/PLUGIN fetches data for Report Settings related to plugins. It is used as a supporting lookup, specifically utilized by Scheduled Reports forms. Essentially, it provides information about custom templates available for plugin reports.",0.333,true,True,0.1318,True,low,False
fetch configured third-party integrations,False,"To fetch configured third-party integrations, use the following API endpoint:

GET /app/api/short/third_party_services

This endpoint lists all configured third-party service integrations and is fetched repeatedly throughout the session as integrations are created and updated. It provides a lightweight list of configured third-party integration services, such as PagerDuty-style integrations, which can be selected as a notification action inside a Notification Profile.",0.0,true,False,0.1439,False,low,False
How can I see the top real capacity usage for my Tencent Cloud MySQL databases?,False,"To see the top real capacity usage for your Tencent Cloud MySQL databases, you can use the following API endpoint:

GET /app/api/reports/top_n/TENCENTCLOUD_MYSQL/RealCapacity

This will provide a report of the top Tencent Cloud MySQL databases by real capacity usage.",0.0,true,False,0.2175,False,low,False
fetch SLOs tied to a monitor id,False,"To fetch SLO policies associated with a specific monitor ID, use the following API endpoint:

GET /app/api/slo/get_monitor_associated_slo/{id}

Replace {id} with the monitor ID you want to query. This will return the SLO policies tied to that monitor.",0.0,true,False,0.0363,False,low,False
Create a new third-party report in Operations module,False,"The provided context does not specify an endpoint explicitly for creating a new third-party report in the Operations module. However, there is a POST endpoint /app/api/reports/thirdparty that ""Creates/submits data for: Unclear (endpoint: /app/api/reports/thirdparty)"".

Based on this, to create a new third-party report (possibly in the Operations module), you would use:

POST /app/api/reports/thirdparty

No further details about the request body or parameters are provided in the context.",0.0,partial,True,0.1754,False,low,False
How can I view the top Kubernetes kubelet PLEG discard events report?,False,"To view the top Kubernetes kubelet PLEG discard events report, you can use the following API endpoint:

GET /app/api/reports/top_n/KUBERNETES_KUBELET/pleg_discard_events

This endpoint fetches reports highlighting the most common Kubernetes kubelet PLEG discard occurrences.",0.0,true,False,0.0526,False,low,False
How can I update the settings for an existing scheduled report?,False,"To update the settings for an existing scheduled report, use the following endpoint:

PUT /app/api/scheduled_reports/15698000342022005

Replace ""15698000342022005"" with the actual ID of the scheduled report you want to update. This endpoint updates data for Scheduled Reports.",0.0,true,False,0.5212,True,low,False
How can I see the network interfaces with the highest incoming traffic?,False,"You can see the network interfaces with the highest incoming traffic by using the following API endpoint:

GET /app/api/reports/top_n/NETWORKINTERFACE/in_traffic

This fetches a report listing network interfaces with the highest incoming traffic.",0.0,true,False,0.1377,False,low,False
How can I see the VPC network interfaces with the most rejected requests?,False,"To see the VPC network interfaces with the most rejected requests, you can use the following API endpoint:

GET /app/api/reports/top_n/VPC_NI/rejected_requests

This endpoint generates a report listing VPC network interfaces with the highest count of rejected requests.",0.0,true,False,0.0814,False,low,False
What fields are returned when I retrieve custom report settings,False,"When you retrieve custom report settings using the endpoint GET /app/api/short/reports/custom_reports, the data returned includes the fields supporting lookup for Report Settings used by Scheduled Reports forms. Specifically, this endpoint fetches data related to the report settings but does not detail individual report configurations.

For detailed configuration of a specific custom report by ID, the endpoint GET https://www.site24x7.com/app/api/reports/custom_reports/{id} returns the saved configuration including:
- name
- description
- full config_data block, which contains:
  - columns
  - report_type
  - category
  - sort_by
  - grouping
  - time_period

Therefore, the fields related to custom report settings include at least these: name, description, columns, report_type, category, sort_by, grouping, and time_period.",0.0,true,False,0.7526,True,low,False
How do I list all poller groups for integrations in Site24x7,False,"To list all poller groups for integrations in Site24x7, use the following API endpoint:

GET /app/api/short/monitors/pollergroup

This retrieves available poller groups used to scope certain integrations (e.g., SDP) to specific network segments.",0.0,true,False,0.3966,False,low,False
retrieve Azure ExpressRoute Circuit outage details report,False,"To retrieve the Azure ExpressRoute Circuit outage details report, use the following API endpoint:

GET /app/api/reports/outages/type/AZURE-EXPRESSROUTECIRCUITS

This endpoint provides outage reports and detailed downtime information for Azure ExpressRoute Circuit services.",0.0,true,False,0.0461,False,low,False
Show me license stats at startup for all plugins,False,"To get license stats at startup for all plugins, you can use the following endpoint:

GET /app/api/reports/summary/type/PLUGIN

This endpoint retrieves summary reports for all plugin integrations, providing an overview of plugin performance and status, which includes license-related information for plugins.",0.0,partial,True,0.7779,True,medium,True
How do I set up Moogsoft integration in Site24x7,False,"To set up a Moogsoft integration in Site24x7, you need to create or update the integration by making a POST request to the following API endpoint:

POST /app/api/integration/moogsoft

This request will configure the Moogsoft integration for AIOps-based alert correlation via the Moogsoft platform.",0.0,true,False,0.0758,False,low,False
How can I view the trend report for my Meraki Organization?,False,"To view the trend report for your Meraki Organization, you can use the following API endpoint:

GET /app/api/reports/trend/type/MERAKIORG

This will retrieve trend reports illustrating performance and usage trends over time for your Meraki Organization.",0.0,true,False,0.068,False,low,False
How can I see the performance report for my VPC?,False,"To see the performance report for your VPC, you can use the following API endpoint:

GET /app/api/reports/performance/type/VPC

This will retrieve the performance report for the specified VPC, providing detailed metrics and insights.",0.0,true,False,0.0478,False,low,False
get Aruba Switch BETA performance report,False,"The provided context does not include an API endpoint specifically for fetching a BETA performance report for Aruba Switches. 

However, to get detailed performance metrics for Aruba Central switches, you can use:
GET /app/api/reports/performance/type/ARUBACENTRAL-SWITCH

If you are looking for a BETA or specialized version of the performance report, it is not listed in the given endpoints. You may need to check for additional documentation or API updates beyond the current context.",0.333,partial,True,0.1642,True,medium,True
How can I retrieve Operations Dashboard views using the Site24x7?,False,"To retrieve Operations Dashboard views using Site24x7 Admin API, you can use the following endpoint:

GET /app/api/dashboard_views

This endpoint fetches data specifically for the Operations Dashboard.",0.0,true,False,0.2217,False,low,False
How can I see the latest new resources added in DigitalOcean?,False,"You can see the latest new resources added in DigitalOcean by making a GET request to the following endpoint:

GET /app/api/reports/top_n/DIGITALOCEAN/new_resources_count

This will retrieve the top new resources count report for DigitalOcean, showing the latest resources added to the platform.",0.0,true,False,0.0758,False,low,False
fetch child details report for Azure Virtual Machine Windows services,False,"To fetch the child details report for Windows services running on an Azure Virtual Machine, use the following API endpoint:

GET /app/api/reports/child-details/AZURE-VM/WindowsServices/{id}

Replace {id} with the specific identifier of the Azure Virtual Machine you want to query.",0.0,true,False,0.1094,False,low,False
fetch business transaction configuration profile using method,False,"To fetch a specific Business Transaction Configuration profile by its ID, use the GET method with the following endpoint:

GET https://www.site24x7.com/app/api/apminsight/business_txn_config_profile/{id}

Replace {id} with the actual profile ID. This call returns the full settings of the profile including agent_type, profile_name, keytxn_config block, and is_default flag.",0.0,true,False,0.4636,True,low,False
How can I view the performance trends for my Azure Kubernetes clusters?,False,"To view the performance trends for your Azure Kubernetes clusters, you can use the following API endpoint:

GET /app/api/reports/trend/type/AZURE-MANAGEDCLUSTERS

This endpoint retrieves performance trend reports specifically for Azure Kubernetes Service managed clusters, allowing you to monitor cluster health and activity over time.",0.0,true,False,0.0777,False,low,False
How do I update an AI workflow configuration using Site24x7,False,"To update an existing AI workflow configuration in Site24x7, you can use the PUT API endpoint:

- PUT /app/api/genai/workflow/testagent  
or  
- PUT /app/api/genai/workflow/{id}

Replace `{id}` with the specific workflow ID you want to update. This request will update the AI workflow configuration with the data you provide.",0.0,true,False,0.6906,True,low,False
How can I see which EC2 instances are using the most visible memory?,False,"To see which EC2 instances are using the most visible memory, you can use the following API endpoint:

GET /app/api/reports/top_n/EC2INSTANCE/used_visible_memory

This endpoint provides a report of EC2 instances ranked by used visible memory, helping you determine which instances are utilizing the most memory.",0.0,true,False,0.2463,False,low,False
How can I view a summary report of my access points?,False,"To view a summary report of your access points, you can use the following API endpoint:

GET /app/api/reports/summary/type/ACCESSPOINT

This endpoint retrieves a summary report of access points, providing an overview of their status and key metrics.",0.0,true,False,0.0492,False,low,False
