dataset,id,tool,predicted_label,ground_truth_label,flagged_span_text,latency_seconds
mock,H03,Bespoke-MiniCheck-7B,faithful,hallucinated,yes_prob=0.5775,0.6864
mock,F06,Bespoke-MiniCheck-7B,faithful,faithful,yes_prob=0.5775,0.6165
mock,H08,Bespoke-MiniCheck-7B,faithful,hallucinated,yes_prob=0.5775,0.6443
mock,F03,Bespoke-MiniCheck-7B,faithful,faithful,yes_prob=0.5622,0.6632
ragtruth,RT_715,AlignScore,faithful,faithful,,0.9358
ragtruth,RT_478,AlignScore,faithful,hallucinated,,0.5362
ragtruth,RT_567,AlignScore,hallucinated,hallucinated,,0.7691
ragtruth,RT_264,AlignScore,faithful,faithful,,0.5893
ragtruth,RT_335,AlignScore,hallucinated,hallucinated,,0.301
ragtruth,RT_043,AlignScore,faithful,faithful,,1.1354
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,AlignScore,faithful,faithful,,0.301
ragbench,RB_pubmedqa_pubmedqa_11119,AlignScore,faithful,hallucinated,,0.6082
ragbench,RB_pubmedqa_pubmedqa_35832,AlignScore,hallucinated,hallucinated,,0.3709
ragbench,RB_covidqa_00363,AlignScore,faithful,faithful,,0.301
ragbench,RB_techqa_techqa_DEV_Q135,AlignScore,faithful,hallucinated,,1.5773
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,AlignScore,faithful,faithful,,0.301
delucionqa,DQ_00001,AlignScore,hallucinated,faithful,,10.2181
delucionqa,DQ_00457,AlignScore,faithful,hallucinated,,7.8871
delucionqa,DQ_00105,AlignScore,faithful,hallucinated,,1.3216
delucionqa,DQ_00688,AlignScore,faithful,faithful,,2.6067
delucionqa,DQ_00811,AlignScore,faithful,hallucinated,,13.1434
delucionqa,DQ_00354,AlignScore,hallucinated,faithful,,4.4129
mock,F08,AlignScore,faithful,faithful,,0.463
mock,H07,AlignScore,hallucinated,hallucinated,,0.4533
mock,H03,AlignScore,hallucinated,hallucinated,,0.4469
mock,F06,AlignScore,faithful,faithful,,0.445
mock,H08,AlignScore,hallucinated,hallucinated,,0.4467
mock,F03,AlignScore,faithful,faithful,,0.4398
ragtruth,RT_715,HHEM-2.1,faithful,faithful,,0.543
ragtruth,RT_478,HHEM-2.1,faithful,hallucinated,,0.301
ragtruth,RT_567,HHEM-2.1,hallucinated,hallucinated,,0.301
ragtruth,RT_264,HHEM-2.1,faithful,faithful,,0.301
ragtruth,RT_335,HHEM-2.1,faithful,hallucinated,,0.301
ragtruth,RT_043,HHEM-2.1,faithful,faithful,,0.301
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,HHEM-2.1,faithful,faithful,,0.301
ragbench,RB_pubmedqa_pubmedqa_11119,HHEM-2.1,faithful,hallucinated,,0.301
ragbench,RB_pubmedqa_pubmedqa_35832,HHEM-2.1,hallucinated,hallucinated,,0.301
ragbench,RB_covidqa_00363,HHEM-2.1,faithful,faithful,,0.301
ragbench,RB_techqa_techqa_DEV_Q135,HHEM-2.1,hallucinated,hallucinated,,0.301
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,HHEM-2.1,faithful,faithful,,0.301
delucionqa,DQ_00001,HHEM-2.1,faithful,faithful,,0.301
delucionqa,DQ_00457,HHEM-2.1,faithful,hallucinated,,0.301
delucionqa,DQ_00105,HHEM-2.1,faithful,hallucinated,,0.301
delucionqa,DQ_00688,HHEM-2.1,faithful,faithful,,0.301
delucionqa,DQ_00811,HHEM-2.1,hallucinated,hallucinated,,0.301
delucionqa,DQ_00354,HHEM-2.1,faithful,faithful,,0.301
mock,F08,HHEM-2.1,hallucinated,faithful,,0.301
mock,H07,HHEM-2.1,hallucinated,hallucinated,,0.301
mock,H03,HHEM-2.1,hallucinated,hallucinated,,0.301
mock,F06,HHEM-2.1,faithful,faithful,,0.301
mock,H08,HHEM-2.1,hallucinated,hallucinated,,0.301
mock,F03,HHEM-2.1,faithful,faithful,,0.301
ragtruth,RT_715,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=2; unsupported=[],6.1531
ragtruth,RT_478,RAGAS,hallucinated,hallucinated,"faithfulness_score=0.429; claims=7; unsupported=['Passage 3 states that the purpose of the BNP test is to check for heart failure.', 'Passage 3 suggests that any deviation from normal BNP levels could indicate a heart issue.', 'A normal BNP level is within the range typical for a healthy individual ",12.3546
ragtruth,RT_567,RAGAS,faithful,hallucinated,"faithfulness_score=0.600; claims=5; unsupported=['Cupping can increase blood circulation, which can help improve overall health.', 'Cupping can help detoxify the body by removing impurities and toxins through the skin.']",9.308
ragtruth,RT_264,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=10; unsupported=[],15.4837
ragtruth,RT_335,RAGAS,error,hallucinated,"No JSON array found in response: '[\n  {\n    ""claim"": ""Mood swings are an early sign of pregnancy."",\n    ""verdict"": 1,\n    ""reason"": ""Context states mood swings are common in early pregnancy.""\n  },\n  {\n    ""claim"": ""Dizziness is an ear'",17.5504
ragtruth,RT_043,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=8; unsupported=[],21.8277
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,RAGAS,faithful,faithful,"faithfulness_score=0.500; claims=12; unsupported=['Mick Jagger and Brett Scallions are both musicians.', 'Brett Scallions is American.', 'Brett Scallions is the lead vocalist of the post-grunge band Fuel.']",21.6244
ragbench,RB_pubmedqa_pubmedqa_11119,RAGAS,faithful,hallucinated,"faithfulness_score=0.750; claims=8; unsupported=['The available evidence suggests that high harm avoidance appears to be an essential feature of panic disorder.', 'More research in samples without confounding factors would be needed to definitively conclude whether harm avoidance is truly an essenti",28.1324
ragbench,RB_pubmedqa_pubmedqa_35832,RAGAS,faithful,hallucinated,faithfulness_score=1.000; claims=3; unsupported=[],16.4668
ragbench,RB_covidqa_00363,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=1; unsupported=[],9.4085
ragbench,RB_techqa_techqa_DEV_Q135,RAGAS,hallucinated,hallucinated,"faithfulness_score=0.000; claims=7; unsupported=['The error message indicates that there is not enough available flash memory space on the IBM DataPower Gateway to install the firmware image.', 'The system is unable to reboot after the failed installation.', 'One should check the available flash mem",18.5321
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,RAGAS,hallucinated,faithful,"faithfulness_score=0.333; claims=3; unsupported=['The cabinet-making firm Gillows of Lancaster and London was founded in Lancaster.', 'Gillows of Lancaster and London was founded around 1730.']",9.5042
delucionqa,DQ_00001,RAGAS,error,faithful,"No JSON array found in response: '[\n  {\n    ""claim"": ""Reinstall the front grommets when reinstalling the front carpet."",\n    ""verdict"": 0,\n    ""reason"": ""Context does not mention front grommets or reinstalling them.""\n  },\n  {\n    ""cla'",21.934
delucionqa,DQ_00457,RAGAS,faithful,hallucinated,faithfulness_score=0.875; claims=8; unsupported=['Placing insulating objects on a heated steering wheel can cause overheating and should be avoided.'],26.7155
delucionqa,DQ_00105,RAGAS,faithful,hallucinated,faithfulness_score=1.000; claims=12; unsupported=[],20.4665
delucionqa,DQ_00688,RAGAS,hallucinated,faithful,"faithfulness_score=0.250; claims=4; unsupported=['The ABS Warning Light being on indicates that the anti-lock portion of the brake system is not functioning properly.', 'It is recommended to have the brake system serviced as soon as possible to restore the benefits of anti-lock brakes.', 'If the ABS",16.3461
delucionqa,DQ_00811,RAGAS,error,hallucinated,"No JSON array found in response: '[\n  {\n    ""claim"": ""To check OBD II readiness, you must cycle the ignition switch to the ON position without cranking or starting the engine."",\n    ""verdict"": 1,\n    ""reason"": ""Context explicitly says'",31.0111
delucionqa,DQ_00354,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=4; unsupported=[],20.9857
mock,F08,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=2; unsupported=[],9.4921
mock,H07,RAGAS,hallucinated,hallucinated,"faithfulness_score=0.000; claims=2; unsupported=['Zoho Mail includes a generative AI helper.', 'The generative AI helper in Zoho Mail writes replies for you.']",9.9009
mock,H03,RAGAS,hallucinated,hallucinated,faithfulness_score=0.000; claims=1; unsupported=['Zoho Desk automatically translates all incoming support tickets for agents.'],9.8368
mock,F06,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=3; unsupported=[],11.7077
mock,H08,RAGAS,hallucinated,hallucinated,"faithfulness_score=0.000; claims=2; unsupported=['Site24x7 detects issue root causes.', 'Site24x7 performs fully autonomous self-healing.']",8.6238
mock,F03,RAGAS,faithful,faithful,faithfulness_score=1.000; claims=2; unsupported=[],10.6617
